alt_text_missing,link_empty,h1_missing,heading_empty,heading_skipped,button_empty,lang_missing,region_missing,table_layout,noscript,alt_suspicious,event_handler,text_justified,text_small,heading_possible,internal_link_broken,link_redundant,alt_duplicate,link_suspicious,label_missing,title_redundant,alt_redundant,contrast,color_failed,text_size-failed,link_info_failed,alt_creation_failed,file
0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'amazon.html'
0, 48, 0, 1, 0, 9, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 8, 0, 36, 0, 4, 0, 0, 0, 0, 1, 0, 'bahn.html'
0, 548, 0, 34, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 449, 0, 0, 0, 4, 0, 0, 6, 0, 'bild.html'
6, 101, 0, 2, 1, 16, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 2, 2, 47, 0, 4, 0, 0, 0, 0, 1, 0, 'booking.html'
0, 129, 0, 9, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 5, 3, 99, 2, 17, 0, 0, 0, 0, 2, 0, 'br.html'
0, 109, 1, 8, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 6, 0, 117, 0, 129, 0, 0, 0, 0, 4, 0, 'bunte.html'
4, 99, 1, 0, 0, 0, 0, 0, 0, 0, 2, 93, 0, 0, 0, 0, 92, 1, 15, 0, 8, 0, 1, 0, 0, 1, 0, 'chaturbate.html'
35, 263, 0, 9, 0, 2, 0, 0, 1, 1, 37, 31, 0, 15, 1, 6, 42, 1, 113, 10, 199, 0, 1, 0, 1, 0, 0, 'check24.html'
0, 188, 1, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 124, 0, 18, 0, 0, 0, 0, 3, 0, 'chefkoch.html'
0, 155, 1, 24, 0, 35, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 13, 0, 104, 2, 237, 0, 0, 0, 0, 2, 0, 'chip.html'
0, 65, 1, 78, 0, 12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 56, 0, 2, 0, 0, 1, 1, 0, 0, 'derwesten.html'
0, 145, 0, 10, 2, 7, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2, 13, 0, 114, 4, 0, 0, 0, 0, 0, 2, 0, 'dhl.html'
0, 111, 0, 11, 1, 12, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 1, 0, 56, 0, 0, 0, 3, 3, 0, 29, 0, 'ebay.html'
1, 3, 1, 0, 0, 0, 0, 0, 0, 1, 2, 10, 0, 0, 0, 0, 0, 0, 7, 2, 3, 0, 0, 0, 0, 0, 0, 'facebook.html'
0, 72, 1, 1, 0, 8, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 17, 1, 0, 0, 0, 0, 0, 2, 0, 'fandom.html'
79, 252, 0, 24, 0, 17, 0, 0, 0, 1, 80, 13, 0, 0, 0, 0, 16, 0, 196, 4, 103, 0, 13, 0, 0, 2, 0, 'faz.html'
0, 273, 1, 58, 1, 1, 0, 0, 22, 1, 8, 170, 0, 0, 0, 1, 205, 1, 272, 3, 57, 0, 0, 0, 3, 5, 9, 'finanzen.html'
5, 371, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 65, 0, 256, 3, 67, 0, 0, 0, 0, 2, 5, 'focus.html'
0, 104, 1, 98, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 59, 0, 41, 0, 0, 0, 0, 162, 0, 'fr.html'
0, 120, 0, 8, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 124, 0, 49, 0, 45, 0, 0, 1, 0, 'gala.html'
0, 42, 1, 55, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 21, 0, 1, 0, 0, 0, 0, 0, 0, 'giga.html'
0, 57, 0, 6, 0, 15, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 1, 29, 1, 0, 0, 0, 4, 0, 2, 0, 'github.html'
0, 54, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 42, 2, 0, 0, 0, 0, 0, 1, 0, 'gmx.html'
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 'google.html'
0, 32, 0, 0, 0, 28, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 60, 0, 1, 0, 0, 0, 0, 1, 0, 'idealo.html'
2, 40, 1, 0, 0, 10, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 118, 0, 0, 0, 0, 7, 0, 0, 0, 'ikea.html'
0, 101, 1, 8, 1, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 15, 1, 0, 0, 0, 0, 0, 67, 0, 'immobilienscout24.html'
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 'instagram.html'
0, 69, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 0, 47, 7, 8, 0, 0, 0, 0, 0, 0, 'joyclub.html'
0, 309, 0, 0, 0, 14, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 29, 0, 0, 0, 0, 0, 0, 280, 0, 'kaufland.html'
0, 614, 1, 82, 1, 0, 0, 0, 0, 0, 5, 89, 0, 0, 0, 0, 119, 0, 252, 0, 0, 0, 0, 0, 0, 2, 5, 'kicker.html'
4, 255, 1, 0, 2, 24, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 90, 0, 4, 0, 0, 0, 0, 3, 0, 'lidl.html'
0, 40, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 5, 0, 0, 0, 0, 0, 2, 0, 'linkedin.html'
0, 16, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 5, 3, 0, 5, 0, 0, 0, 0, 1, 0, 'live.html'
8, 42, 0, 6, 0, 24, 0, 0, 2, 1, 6, 46, 0, 0, 0, 1, 0, 0, 63, 0, 13, 0, 0, 0, 0, 1, 0, 'markt.html'
0, 197, 1, 136, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 15, 0, 243, 0, 55, 0, 0, 0, 0, 0, 0, 'merkur.html'
9, 662, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0, 0, 404, 0, 280, 2, 433, 0, 0, 0, 1, 1, 0, 'n-tv.html'
0, 61, 0, 73, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 47, 0, 54, 0, 0, 0, 0, 2, 0, 'ndr.html'
2, 58, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 4, 0, 48, 0, 10, 0, 0, 0, 0, 0, 2, 'netdoktor.html'
0, 0, 0, 6, 0, 4, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 'netflix.html'
22, 32, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 114, 1, 0, 0, 0, 0, 0, 0, 0, 'otto.html'
0, 6, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 0, 'paypal.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 'pornhub.html'
0, 234, 1, 0, 2, 17, 0, 0, 0, 1, 14, 0, 0, 0, 0, 0, 8, 0, 120, 8, 0, 0, 0, 0, 0, 1, 0, 'rnd.html'
3, 244, 1, 14, 1, 25, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 253, 1, 0, 0, 0, 0, 0, 0, 0, 'rtl.html'
1, 157, 0, 6, 0, 66, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 7, 0, 151, 0, 0, 0, 0, 0, 0, 1, 0, 'samsung.html'
268, 567, 1, 135, 1, 143, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 50, 3, 331, 0, 172, 0, 0, 1, 0, 3, 140, 'spiegel.html'
3, 100, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 87, 0, 0, 0, 3, 0, 3, 0, 3, 'sport1.html'
0, 46, 0, 7, 2, 2, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 1, 21, 1, 2, 0, 0, 2, 0, 1, 0, 'stackoverflow.html'
0, 238, 0, 28, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 2, 0, 224, 0, 121, 0, 66, 0, 0, 1, 0, 'stern.html'
0, 231, 1, 57, 1, 19, 0, 0, 0, 1, 31, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 11, 0, 'sueddeutsche.html'
0, 200, 0, 464, 1, 8, 0, 0, 0, 1, 33, 0, 0, 0, 0, 0, 71, 4, 153, 2, 51, 0, 0, 0, 0, 1, 21, 't-online.html'
0, 231, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 4, 4, 225, 1, 3, 0, 0, 0, 0, 0, 0, 'tagesschau.html'
0, 38, 0, 17, 1, 6, 0, 0, 0, 1, 13, 0, 0, 0, 0, 0, 3, 2, 15, 0, 0, 0, 1, 0, 0, 1, 0, 'teads.html'
0, 176, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 22, 0, 5, 1, 16, 0, 0, 0, 0, 3, 0, 'telekom.html'
0, 16, 1, 2, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 1, 0, 0, 0, 0, 0, 1, 0, 'tiktok.html'
3, 229, 0, 0, 0, 0, 0, 0, 0, 1, 0, 24, 0, 0, 0, 0, 18, 0, 132, 1, 87, 0, 0, 0, 0, 1, 0, 'tvspielfilm.html'
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'twitch.html'
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 'twitter.html'
3, 217, 1, 117, 2, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 28, 4, 216, 0, 51, 0, 0, 0, 0, 0, 0, 'tz.html'
0, 121, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 60, 2, 0, 0, 0, 0, 0, 2, 0, 'vodafone.html'
0, 24, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 30, 0, 4, 0, 0, 0, 0, 0, 0, 'weather.html'
0, 55, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 59, 2, 0, 0, 0, 0, 0, 1, 0, 'web.html'
0, 53, 0, 1, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 67, 0, 4, 0, 0, 0, 0, 0, 0, 'wetter.html'
1, 58, 1, 5, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 66, 2, 8, 0, 0, 0, 0, 0, 0, 'wetteronline.html'
0, 71, 0, 4, 0, 4, 0, 0, 0, 1, 24, 0, 0, 0, 0, 0, 6, 5, 9, 0, 0, 0, 11, 33, 0, 4, 0, 'whatsapp.html'
0, 46, 0, 6, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 13, 0, 0, 0, 0, 0, 0, 'wikipedia.html'
0, 149, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 130, 0, 0, 0, 0, 0, 0, 4, 0, 'wunderweib.html'
1, 156, 0, 1, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 94, 0, 66, 1, 0, 0, 0, 19, 0, 7, 0, 'xhamster.html'
48, 163, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 'xvideos.html'
1, 101, 0, 39, 1, 8, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 2, 0, 18, 0, 10, 0, 0, 0, 0, 0, 0, 'yahoo.html'
0, 139, 0, 4, 0, 3, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 1, 0, 142, 1, 1, 0, 0, 0, 0, 1, 0, 'youporn.html'
0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 'youtube.html'
1, 358, 0, 146, 1, 477, 0, 0, 0, 1, 14, 0, 0, 0, 0, 0, 15, 0, 165, 0, 72, 0, 0, 0, 0, 2, 13, 'zdf.html'
0, 362, 0, 29, 1, 112, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 118, 0, 179, 2, 15, 0, 0, 0, 0, 34, 0, 'zeit.html'
